Oxysoft export of:	C:\Users\NIRS\Desktop\colm1222
Export date:	2016/11/23 17:17:46
Start of measurement:	2016-11-23 17:13:14.284

Datafile sample rate:	10.00	Hz
Datafile duration:	228.00	s
Datafile total number of samples:	2280

Description:	

Optode-template:	3 x 1 channel (split) I
Optode distance (mm):	 10.00	10.00	10.00
Optode gradients (mm):	 -	-	-
DPF:	4.00	4.00	4.00

Device id:	10221
# Receivers:	2
# Light sources:	8
# ADC:	0

Light source wavelengths:
device	index	wavelength
1	1	847	nm
1	2	762	nm
1	3	847	nm
1	4	761	nm
1	5	847	nm
1	6	761	nm
1	7	847	nm
1	8	761	nm

Export sample rate:	10.00	Hz
No time span selected, exporting full time span



Legend:
Column	Trace (Measurement)
1	(Sample number)
2	Rx1 - Tx1 O2Hb (colm1222)
3	Rx1 - Tx1 HHb (colm1222)
4	Rx2a - Tx2 O2Hb (colm1222)
5	Rx2a - Tx2 HHb (colm1222)
6	Rx2b - Tx3 O2Hb (colm1222)
7	Rx2b - Tx3 HHb (colm1222)
8	(Event)


1	2	3	4	5	6	7	8
    83	-94.7114	138.8542	23.2674	-5.8929	-17.1024	 5.9031	 
    84	-94.6379	138.8266	25.0318	-4.4828	-16.7496	 6.1852	 
    85	-95.0056	138.9646	23.2033	-3.8076	-17.2530	 5.8838	 
    86	-95.4470	139.1303	14.0740	 1.7000	-17.7866	 5.7060	 
    87	-95.6676	139.2132	14.0740	 1.7000	-17.5586	 5.7717	 
    88	-95.8883	139.2960	21.3748	-3.1324	-17.7048	 5.8257	 
    89	-95.4470	139.1303	24.0682	-3.0774	-16.9560	 6.4863	 
    90	-95.0056	138.9646	17.3829	 2.6897	-16.0739	 6.8728	 
    91	-95.4470	139.1303	17.3829	 2.6897	-16.3881	 6.6139	 
    92	-95.6676	139.2132	19.4133	-0.2715	-15.9707	 6.7222	 
    93	-95.6676	139.2132	18.7544	-3.2143	-15.5834	 6.9540	 
    94	40.9636	-60.4629	14.8314	 2.5074	-16.1944	 6.7298	 
    95	40.5958	-60.3249	18.4153	 1.1840	-16.7624	 6.6022	 
    96	-0.7629	-0.2419	18.5827	-1.0518	-16.8786	 6.5327	 
    97	-0.8055	-0.3391	18.4153	 1.1840	-16.9517	 6.5597	 
    98	-0.3525	-0.2828	22.2397	-2.4022	-16.1685	 7.1701	 
    99	-0.0118	-0.2220	19.2115	 2.0145	-15.2563	 7.4330	 
   100	-0.3873	-0.2320	17.7909	-1.8090	-16.4310	 7.1545	 
   101	-0.4996	-0.2275	19.4133	-0.2715	-16.2330	 7.3438	 
   102	-0.4261	-0.2552	24.9720	-2.3241	-15.6564	 7.6182	 
   103	-0.7242	-0.2187	24.9720	-2.3241	-16.0437	 7.3864	 
